id,Chinese,English,Status
1,的,"(possessive particle)/of, really and truly, aim/clear",1
2,一,one/1/single/a(n),1
3,是,is/are/am/yes/to be,1
4,不,(negative prefix)/not/no,1
5,了,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place",1
6,在,(located) at/in/exist,1
7,人,man/person/people,1
8,有,to have/there is/there are/to exist/to be,1
9,我,I/me/myself,1
10,他,he/him,1
11,这,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)",1
12,个,(a measure word)/individual,1
13,们,(plural marker for pronouns and a few animate nouns),1
14,中,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)",1
15,来,to come,1
16,上,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up",1
17,大,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor",1
18,为,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to",1
19,和,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend",1
20,国,country/state/nation,1
21,地,"(subor. part. adverbial)/-ly, earth/ground/field/place/land",1
22,到,to (a place)/until (a time)/up to/to go/to arrive,1
23,以,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.),1
24,说,"persuade (politically), to speak/to say",1
25,时,o'clock/time/when/hour/season/period,1
26,要,"demand/ask/request/coerce, important/vital/to want/to be going to/must",1
27,就,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake,1
28,出,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)",1
29,会,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting",1
30,可,can/may/able to/certain(ly)/to suit/(particle used for emphasis),1
31,也,also/too,1
32,你,you,1
33,对,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right,1
34,生,to be born/to give birth/life/to grow,1
35,能,can/may/capable/energy/able,1
36,而,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast),1
37,子,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)",1
38,那,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)",1
39,得,"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to",1
40,于,"(surname), in/at/to/from/by/than/out of",1
41,着,"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply",1
42,下,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter",1
43,自,from/self/oneself/since,1
44,之,(literary equivalent of 的)/(subor. part.)/him/her/it,1
45,年,year,1
46,过,(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-,1
47,发,"to send out/to show (one's feeling)/to issue/to develop, hair",1
48,后,"empress/queen/surname, back/behind/rear/afterwards/after/later",1
49,作,to regard as/to take (somebody) for/to do/to make,1
50,里,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown",1
51,用,to use,1
52,道,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk,1
53,行,"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct",1
54,所,actually/place,1
55,然,correct/right/so/thus/like this/-ly,1
56,家,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession",1
57,种,"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate",1
58,事,matter/thing/item/work/affair,1
59,成,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth",1
60,方,square/quadrilateral/direction/just,1
61,多,many/much/a lot of/numerous/multi-,1
62,经,classics/sacred book/pass through/to undergo/scripture,1
63,么,"(interrog. part.), (interrog. suff.), one on dice/small",1
64,去,to go/to leave/to remove,1
65,法,law/method/way/Buddhist teaching/Legalist/France (abbrev.),1
66,学,learn/study/science/-ology,1
67,如,as (if)/such as,1
68,都,"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city",1
69,同,like/same/similar/together/alike/with,1
70,现,appear/present/now/existing/current,1
71,当,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent",1
72,没,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate",1
73,动,to use/to act/to move/to change,1
74,面,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles",1
75,起,to rise/to raise/to get up,1
76,看,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at",1
77,定,to set/to fix/to determine/to decide/to order,1
78,天,day/sky/heaven,1
79,分,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part",1
80,还,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return",1
81,进,advance/enter/to come in,1
82,好,"good/well, be fond of",1
83,小,small/tiny/few/young,1
84,部,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)",1
85,其,his/her/its/theirs/that/such/it (refers to sth preceding it),1
86,些,some/few/several/(a measure word),1
87,主,to own/to host/master/lord/primary,1
88,样,manner/pattern/way/appearance/shape,1
89,理,reason/logic/science/inner principle or structure,1
90,心,heart/mind,1
91,她,she,1
92,本,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word),1
93,前,before/in front/ago/former/previous/earlier/front,1
94,开,open/operate (vehicle)/start,1
